X,Y,OBJECTID,DeviceId,DeviceRef,DeviceName,DeviceText,SubBuildingName,BuildingName,BuildingNumber,Thoroughfare,Street,DoubDep_Locality,Dep_Locality,PostTown,County,PostCode,UPRN,LocationShDesc,LocationLgDesc,Manufacturer,Model,PublishStatusID,DateCreated,DateUpdated,Attribution,OwnOrgName,OwnSchemeCode,OwnWebsite,OwnTelephoneNo,CtlOrgName,CtlSchemeCode,CtlWebsite,CtlTelephoneNo,Open24Hours,DeviceNetworks,DeviceStatus,PublishStatus,DeviceValidated,Moderated,LastUpdated,LastUpdatedBy,PaymentReq,PaymentDet,SubsRequired,SubsDetails,ParkingFees,ParkingFeesDet,ParkingFeesUrl,AccRestrict,AccRestrictDet,PhysRestrict,PhysRestrictText,OnStreet,LocationType,Bearing,Access24Hours,Easting,Northing,Latitude,Longitude
362230.9687,182002.9287,11,6928deac51a9dcc1f063ccec46d3c067,CYC60466,Bradley Stoke Leisure Centre,Car park,,Bradley Stoke Leisure Centre,,,Fiddlers Wood Ln,Bradley Stoke,,Almondsbury,South Gloucestershire,BS32 9BS,,,,,,1,2015/02/03 11:49:27+00,2015/09/09 13:37:12+00,Charge Your Car,Active Centres,O47,http://www.activecentres.org,0300 333 0300,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,N,,,Yes,,Yes,,No,,,No,,No,,No,Leisure centre,,No,362230.96865315,182002.92868776,51.535657,-2.545928
374412.6555,165161.7609,12,f370d78730fa28714863a68dda7e12ae,60420 / 60424,Charlotte Street Car Park,Car Park,,,,Crescent Gardens,Marlborough Lane,,,Bath,Bath and North East Somerset,BA1 2NB,,Marlborough Lane,Publicly accessible Bath City Council Car Park,,,1,2015/02/23 17:23:09+00,2016/01/15 15:14:10+00,Source West,BANES Council,O54,http://www.bathnes.gov.uk,01225 394041,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,N,,,No,,Yes,,No,,,No,,No,,No,Other,,No,374412.65550642,165161.76092295,51.384916,-2.369077
373176.393,168062.6252,13,6a8006b6f714a6e3bf592b18c63b33b7,60436/5112352,Lansdown Park & Ride,Park and ride,,Lansdown Park & Ride,,Lansdown Road,,,,Bath,Bath and North East Somerset,BA1 9BJ,,Lansdown Road,Park and Ride,,,1,2015/02/23 17:23:09+00,2016/01/15 15:19:48+00,Source West,BANES Council,O54,http://www.bathnes.gov.uk,01225 394041,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,Y,2016/01/15 15:19:48+00,NCR Admin,No,,Yes,,No,,,No,,No,,No,Other,,No,373176.39298504,168062.62516098,51.410942,-2.387062
358873.7598,180940.1513,14,ee23cd19091ba88bc3cf974d9a5c66ca,SRC_WEST60450,The Mall at Cribbs Causeway,Located in Car Park J in the parking bays closest to the Boots entrance. ,,,34,The Mall ,"Cribbs Causeway, Regional Shopping Centre",,Patchway,Patchway,South Gloucestershire,BS34 5DG,,Cribbs Causeway,,,,1,2015/02/23 17:23:09+00,2016/06/03 08:54:59+00,Source West,The Mall Cribbs Causeway,O186,https://www.mallcribbs.com,0117 915 5555,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,Y,2015/10/13 14:07:58+00,Source West,Yes,£4:50 for 1st hour £5:00 each hour after,Yes,£20 per annum for RFiD card,No,,,No,,No,,No,Retail car park,,No,358873.75980539,180940.15134748,51.525866,-2.594204
358430.9236,173060.818499999,15,88692f34e175f423ac0ebf267c158e2e,60401/02 /48/49,Trenchard Street Car Park 1,Car Park,,,18,Trenchard Street,Lodge Street,,,Bristol,City of Bristol,BS1 5AN,,Lodge Street ,BCC Car park ,,,1,2015/02/23 17:23:09+00,2016/02/26 13:24:13+00,Source West,Bristol City Council,O65,http://www.bristol.gov.uk,0117 922 2100,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,Y,2015/10/13 14:24:53+00,Source West,No,,Yes,£20 per annum for RFiD card,No,,,No,,No,,No,Public car park,,No,358430.92357873,173060.81848904,51.45499,-2.599656
357757.3563,173146.2423,16,16644a3ed5102e32e7fa6cfb3fd5d00a,60408/42/43/40/41,West End Car Park 1,Car Park,,,,Berkeley Place,Jacobs Wells Road,,,Bristol,City of Bristol,BS8 1JX,,Berkeley Place,,,,1,2015/02/23 17:23:09+00,2016/02/26 13:24:46+00,Source West,Bristol City Council,O65,http://www.bristol.gov.uk,0117 922 2100,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,Y,2016/02/26 13:24:46+00,Source West,No,,Yes,,No,,,No,,No,,No,Public car park,,No,357757.35633337,173146.24234325,51.455708,-2.60936
359496.5107,172295.122199999,17,b4382895819caad3a3cdb580eff83351,60444 / 60445,Temple Gate Car Park 2,Car Park,,,,Chatterton Square,Temple Gate,,,Bristol,City of Bristol,BS1 6PL,,Temple Gate,,,,1,2015/02/23 17:23:09+00,2016/02/26 13:25:17+00,Source West,Bristol City Council,O65,http://www.bristol.gov.uk,0117 922 2100,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,Y,2016/02/26 13:25:17+00,Source West,Yes,,Yes,£20 per annum for RFiD card,No,,,No,,No,,No,Public car park,,No,359496.51072181,172295.12220165,51.448183,-2.584233
358214.6986,172783.9965,18,c391014771f4bf86024b31abdf19483d,60407/46/47,College Street Car Park,Car Park,,,,,College Street,,,Bristol,City of Bristol,BS1 5UY,,College Street,,,,1,2015/02/23 17:23:09+00,2015/10/13 14:29:42+00,Source West,Bristol City Council,O65,http://www.bristol.gov.uk,0117 922 2100,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,Y,2015/10/13 14:29:20+00,Source West,No,,Yes,,No,,,No,,No,,No,Other,,No,358214.69856993,172783.99650146,51.452485,-2.602735
358679.9436,172434.624199999,19,f7ffbf22afdd9e39127c07c589338a72,SRC_WEST60412,The Grove Car Park,Car Park,,,,The Grove,Harborside,,,Bristol,City of Bristol,BS1 4RB,,The Grove,,,,1,2015/02/23 17:23:09+00,2016/02/26 13:26:12+00,Source West,Bristol City Council,O65,http://www.bristol.gov.uk,0117 922 2100,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,Y,2015/10/13 14:30:23+00,Source West,No,,Yes,£20 per annum for RFiD card,No,,,No,,No,,No,Public car park,,No,358679.94363642,172434.62417737,51.449378,-2.595999
355875.0809,170949.2163,20,3416647574be9565ce90ef16e973d083,60405 / 60406,Long Ashton Park & Ride,Park and ride,,,,,Ashton Road,,,Bristol,City of Bristol,BS3 2HB,,Long Ashton,,,,1,2015/02/23 17:23:09+00,2015/10/19 09:21:41+00,Source West,Bristol City Council,O65,http://www.bristol.gov.uk,0117 922 2100,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,Y,2015/10/13 15:25:53+00,Source West,No,,Yes,,No,,,No,,No,,No,Park & Ride site,,No,355875.08088221,170949.21628284,51.43581,-2.636174
352274.3249,177046.9429,21,d2fc9bb4b3a1a0f3e0e98786824313ce,60410/11/53,Portway Park & Ride 1,Park and ride,,,,A4,Portway,,Avonmouth,Bristol,City of Bristol,BS11 9QE,,A4 Portway,,,,1,2015/02/23 17:23:09+00,2015/10/29 11:45:39+00,Source West,Bristol City Council,O65,http://www.bristol.gov.uk,0117 922 2100,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,Y,2015/10/29 11:45:39+00,Source West,Yes,Rapid chargers require a fee £4:50 for the first hour £5:00 for each additional hour.,Yes,£20 per annum for RFiD card,No,,,No,,No,,No,Public estate,,No,352274.32485214,177046.94285273,51.490342,-2.688797
362721.7532,170031.3598,22,c6f92a0838596bf1aac964af6c1c09cc,60413 / 60414,Brislington Park & Ride 1,Park and ride,,,515-517,Stockwood Road,,,Brislington,Bristol,City of Bristol,BS4 5LR,,Stockwood Road,,,,1,2015/02/23 17:23:09+00,2016/06/03 09:00:10+00,Source West,Bristol City Council,O65,http://www.bristol.gov.uk,0117 922 2100,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,Y,2015/10/13 13:15:32+00,NCR Admin,No,Rapid chargers require a fee £4:50 for the first hour £5:00 for each additional hour.,Yes,£20 per annum for RFiD card,No,,,No,,No,,No,Park & Ride site,,No,362721.75315893,170031.35977373,51.428051,-2.537584
377520.9736,164474.519300001,23,49d6cdf5a592a53b0eaae56221c4051a,BathUni1,University of Bath East Car Park 1,University Car Park,,,,Convocation Avenue,,,Claverton Down,Bath,Bath and North East Somerset,BA2 7PB,,Convocation Avenue,,,,1,2015/02/23 17:23:09+00,2015/10/16 14:26:51+00,Source West,University of Bath,O194,http://www.bath.ac.uk,01225 383232,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,Y,2015/10/16 14:26:51+00,Source West,No,,Yes,£20 per annum for RFiD card,No,,,No,,No,,No,Educational establishment,,No,377520.97362464,164474.51934234,51.378869,-2.324367
356798.2399,172220.861199999,24,c55ead078947051a856b1f3beb85f748,SRC_WEST60425,Create Centre,Bristol City Council Building Car Park,,,,Smeaton Road,,,,Bristol,City of Bristol,BS1 6XN,,Smeaton Road,Located at back of building by B Bond,,,1,2015/02/23 17:23:09+00,2015/10/19 09:19:52+00,Source West,Bristol City Council,O65,http://www.bristol.gov.uk,0117 922 2100,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,Y,2015/10/16 10:25:47+00,Source West,No,,Yes,£20 per annum for RFiD card,No,,,No,,No,,No,Public car park,,No,356798.23992114,172220.86117014,51.447315,-2.62305
375204.8144,164553.6973,25,713df2f232d6b54d76eeb333d3e51a31,SRC_WEST60435,Lewis House (Rear Car Park),Private Car Park,,,1,Kingston Road,,,,Bath,Bath and North East Somerset,BA1 1PQ,,Kingston Road,Bath Private Car Park,,,1,2015/02/23 17:23:09+00,2015/09/03 08:56:14+00,Source West,BANES Council,O54,http://www.bathnes.gov.uk,01225 394041,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,Y,2015/09/03 08:56:14+00,NCR Admin,No,,Yes,£20 per annum for RFiD card,No,,,No,,No,,No,Workplace car park,,No,375204.81439212,164553.69730224,51.379484,-2.357651
374020.6064,162133.334000001,26,955af57e4945553eb308faa9fb62de43,SRC_WEST60429,Sirona Care & Health,Hospital Car Park,,St. Martins Hospital,,,Clare Cross Lane,,,Bath,Bath and North East Somerset,BA2 5RP,,St. Martins Hospital,,,,1,2015/02/23 17:23:09+00,2015/10/16 10:30:52+00,Source West,BANES Council,O54,http://www.bathnes.gov.uk,01225 394041,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,Y,2015/10/16 10:30:52+00,Source West,No,,Yes,£20 per annum for RFiD card,No,,,Yes,Private parking only,No,,No,Workplace car park,,No,374020.60642061,162133.33404572,51.357668,-2.374488
373346.8617,161471.862,27,853adc44af3dc0f3e0854283b6ae196c,60438/5112350/51,Odd Down Park & Ride Car Park,Park and Ride,,,,,Odd Down Roundabout,,,Bath,Bath and North East Somerset,BA2 8PA,,Odd Down,,,,1,2015/02/23 17:23:09+00,2015/10/19 09:17:13+00,Source West,BANES Council,O54,http://www.bathnes.gov.uk,01225 394041,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,N,,,No,,Yes,,No,,,No,,No,,No,Other,,No,373346.86166056,161471.86202224,51.351689,-2.384114
358800.4172,177896.1598,28,1fb5ef8c315a0a9341131f6261ccaa54,SRC_WEST60456,Southmead Hospital,Hospital Car Park,,,,Southmead Way,,,,Bristol,City of Bristol,BS10 5NB,,Southmead Way,Located by Somerset House via Southmead Road entrance,,,1,2015/02/23 17:23:09+00,2015/10/16 10:41:09+00,Source West,Southmead Hospital,O175,http://www.nbt.nhs.uk,01179 505050,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,Y,2015/10/16 10:41:09+00,Source West,Yes,Rapid chargers require a fee £4:50 for the first hour £5:00 for each additional hour.,Yes,£20 per annum for RFiD card,No,,,No,,No,,No,NHS property,,No,358800.41715262,177896.15984508,51.498492,-2.594904
358371.3232,172426.9178,29,b153ea161401d7c68911515ffd65d457,SRC_WEST60400,Millenium Square Car Park,"Publicly accessible Par Park, located by At Bristol",,Millenium Square Car Park,10,Canons Way,,,,Bristol,City of Bristol,BS1 5LL,,At Bristol,Found on level -1 in the green zone,,,1,2015/02/23 17:23:10+00,2015/10/16 10:41:44+00,Source West,At-Bristol,O50,http://www.at-bristol.org.uk,0845 345 1235,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,Y,2015/09/03 09:02:33+00,NCR Admin,No,,Yes,£20 per annum for RFiD card,Yes,,,No,,No,,No,Public car park,,No,358371.32324478,172426.91780188,51.449286,-2.600439
360653.3242,182625.4603,30,577c63f9937fa0e8d4650ddf1510a03f,60470 / 60471,Hoare Lea,Private business Car Park,,,14,,Aztec West,,,Almondsbury,South Gloucestershire,BS32 4TX,,Aztec West,,,,1,2015/02/23 17:23:10+00,2015/10/16 10:47:53+00,Source West,Hoare Lea,O112,http://www.hoarelea.com,01454 201 020,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,Y,2015/10/16 10:47:53+00,Source West,No,,Yes,,No,,,Yes,Private Parking only,No,,No,Other,,No,360653.32423369,182625.46030317,51.541146,-2.568743
358881.4245,180867.459899999,31,e1f923bf3b3a1899a29ad6bf91d3816e,SRC_WEST60454,Cribbs Causeway Retail Park,Car Park,,,,Lysander Road,,,Patchway,Patchway,South Gloucestershire,BS34 5TX,,Cribbs Causeway,Located near the entrance to Boots,,,1,2015/02/23 17:23:10+00,2015/10/02 14:18:23+00,Source West,The Mall Cribbs Causeway,O186,https://www.mallcribbs.com,0117 915 5555,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,Y,2015/10/02 14:18:23+00,Source West,Yes,Rapid chargers require a fee £4:50 for the first hour £5:00 for each additional hour.,Yes,£20 per annum for RFiD card,No,,,No,,No,,No,Retail car park,,No,358881.42446936,180867.45992346,51.525213,-2.594085
357370.1334,174888.0569,32,378f322cfe754a8f5d987afb5faa6312,SRC_WEST60409,Simplyhealth House,Car Park,,,,Redland Hill,,,,Bristol,City of Bristol,BS6 6UT,,Redland Hill,Private Business Park,,,1,2015/02/23 17:23:10+00,2015/10/16 11:09:27+00,Source West,Simplyhealth,O167,https://www.simplyhealth.co.uk,0844 579 2257,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,Yes,Source West,In service,Published,0,Y,2015/10/16 11:09:27+00,Source West,No,,Yes,£20 per annum for RFiD card,No,,,Yes,Private Parking only,No,,No,Workplace car park,,Yes,357370.13337595,174888.05690029,51.47134,-2.615144
